|   iter    |  target   | colsam... | learni... | max_depth | min_ch... | min_da... | min_sp... | n_esti... | num_le... | reg_alpha | reg_la... | subsample |

|  1        |  0.787    |  0.5391   |  0.0718   |  8.014    |  29.52    |  481.3    |  0.06494  |  5.501e+0 |  42.84    |  2.891    |  1.15     |  0.8959   |

|  2        |  0.7875   |  0.5231   |  0.05724  |  9.628    |  8.197    |  178.4    |  0.003002 |  8.661e+0 |  40.56    |  2.61     |  2.936    |  0.8996   |

|  3        |  0.7857   |  0.4692   |  0.07827  |  5.591    |  33.8     |  229.0    |  0.09452  |  6.175e+0 |  33.29    |  0.7937   |  2.323    |  0.7281   |

**|  4        |  0.7897   |  0.5547   |  0.00286  |  8.088    |  32.54    |  655.2    |  0.09443  |  7.455e+0 |  32.19    |  1.311    |  2.093    |  0.5301   |

|  5        |  0.787    |  0.6334   |  0.06739  |  6.052    |  10.8     |  383.9    |  0.03701  |  6.562e+0 |  33.77    |  2.965    |  0.3061   |  0.6044   |

|  6        |  0.7885   |  0.7331   |  0.03487  |  8.656    |  36.84    |  998.5    |  0.01208  |  2.017e+0 |  39.96    |  1.706    |  2.073    |  0.8768   |

|  7        |  0.7867   |  0.2938   |  0.08932  |  9.973    |  11.51    |  978.6    |  0.04894  |  9.985e+0 |  29.54    |  2.841    |  2.649    |  0.5812   |

|  8        |  0.7874   |  0.5856   |  0.0681   |  6.557    |  6.477    |  998.0    |  0.05784  |  6.18e+03 |  39.37    |  1.347    |  1.552    |  0.6073   |

|  9        |  0.7871   |  0.2621   |  0.07979  |  6.2      |  49.24    |  998.5    |  0.04616  |  2.01e+03 |  42.5     |  1.99     |  1.251    |  0.8973   |

|  10       |  0.7876   |  0.5991   |  0.04569  |  7.046    |  8.285    |  127.3    |  0.02775  |  2.034e+0 |  35.22    |  1.891    |  0.362    |  0.6344   |

|  11       |  0.7874   |  0.1021   |  0.061    |  9.414    |  45.7     |  102.8    |  0.007992 |  9.952e+0 |  28.59    |  0.5413   |  0.4948   |  0.606    |

|  12       |  0.7888   |  0.5953   |  0.02276  |  5.606    |  46.25    |  988.2    |  0.01498  |  9.901e+0 |  27.45    |  0.19     |  1.148    |  0.6711   |

|  13       |  0.7864   |  0.6389   |  0.09276  |  9.212    |  47.43    |  981.6    |  0.07378  |  9.852e+0 |  41.66    |  0.6787   |  0.4303   |  0.9683   |

|  14       |  0.7884   |  0.6587   |  0.03925  |  9.422    |  12.83    |  991.2    |  0.01891  |  2.034e+0 |  28.28    |  0.9919   |  1.912    |  0.9757   |

|  15       |  0.7887   |  0.3887   |  0.04159  |  7.756    |  48.31    |  123.8    |  0.09984  |  2.139e+0 |  25.52    |  1.579    |  0.3315   |  0.9572   |

|  16       |  0.7868   |  0.5008   |  0.08164  |  5.349    |  48.75    |  134.7    |  0.04643  |  2.006e+0 |  36.72    |  0.5188   |  0.2833   |  0.942    |

|  17       |  0.7868   |  0.7164   |  0.0679   |  7.439    |  5.637    |  978.6    |  0.05338  |  2.176e+0 |  29.69    |  1.176    |  1.309    |  0.836    |

|  18       |  0.7895   |  0.6786   |  0.0123   |  8.85     |  47.33    |  993.3    |  0.08713  |  4.655e+0 |  28.04    |  0.822    |  1.436    |  0.6601   |

|  19       |  0.7892   |  0.6164   |  0.02309  |  7.995    |  49.85    |  980.9    |  0.06352  |  5.552e+0 |  25.87    |  2.335    |  2.635    |  0.5393   |

|  20       |  0.7892   |  0.3499   |  0.01867  |  5.133    |  49.73    |  977.4    |  0.01299  |  7.175e+0 |  25.98    |  0.9443   |  1.841    |  0.5431   |
